семестр;Фак-т;Курс;Ф.обуч;Примеч.;Группа:;Дисциплина;каф.;Преподаватель;№ груп.;кол-во человек;Вид занятия;аудитория;Корпус;Дата;"Дата
(конец
диапазона)";День;Нач.з.час;Нач.з.мин;Кон.з.час;Кон.з.мин;Сессия;Месяц;"Время
диапазон";1;;                                                                                                             ;;;;;;;;;;;;;;;
осенний;Институт базового инженерного образования;2;очная;9;ОТ-24-28;Основы обогащения минерального сырья;25;Асп. Люблянова В.А.;2;;практика;831;Инж.корп.;2.9;9.12;вт;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;4;очная;;ОП-22;I Моделирование процессов обогащения;25;Асс. Кузнецов В.В.;;19;практика;3308;Уч.ц.1;2.9;9.12;вт;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;II Флотационные методы обогащения;25;Асс. Кузнецов В.В.;;22;практика;6203;Уч.ц.1;11.9;4.12;чт;15;.55;17;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;Технология отходов;25;Доц. Афанасова А.В.;;22;лекция;6203;Уч.ц.1;1.9;27.10;пн;8;.50;10;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;Комплексная переработка полезных ископаемых;25;Доц. Афанасова А.В.;;22;лекция;6203;Уч.ц.1;1.9;8.12;пн;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;Технология отходов;25;Доц. Афанасова А.В.;;22;практика;6203;Уч.ц.1;2.9;28.10;вт;8;.50;10;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;3;очная;;ОП-23;I Тепломассообменные процессы в горно-металлургических производствах;25;Доц. Афанасова А.В.;;17;лекция;6204;Уч.ц.1;2.9;9.12;вт;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;Технология отходов;25;Доц. Афанасова А.В.;;22;практика;6204;Уч.ц.1;3.9;29.10;ср;8;.50;10;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;4;очная;;ОП-22;Теплотехника;25;Доц. Афанасова А.В.;;19;лекция;6203;Уч.ц.1;3.9;10.12;ср;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;4;очная;;ОП-22;II Теплотехника;25;Доц. Афанасова А.В.;;19;практика;6307;Уч.ц.1;10.9;3.12;ср;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;Технология отходов;25;Доц. Афанасова А.В.;;22;лекция;6203;Уч.ц.1;4.9;30.10;чт;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;Гравитационные методы обогащения;25;Доц. Афанасова А.В.;;22;лекция;6203;Уч.ц.1;4.9;11.12;чт;14;.15;15;.45;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;I Комплексная переработка полезных ископаемых;25;Доц. Афанасова А.В.;;22;практика;6203;Уч.ц.1;4.9;11.12;чт;15;.55;17;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;3;очная;;ОП-23;II Тепломассообменные процессы в горно-металлургических производствах;25;Доц. Афанасова А.В.;;17;практика;6307;Уч.ц.1;12.9;5.12;пт;8;.50;10;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;I Технология отходов;25;Доц. Афанасова А.В.;;22;лекция;6203;Уч.ц.1;5.9;12.12;пт;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;II Гравитационные методы обогащения;25;Доц. Афанасова А.В.;;22;практика;6203;Уч.ц.1;12.9;5.12;пт;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;I Технология отходов;25;Доц. Афанасова А.В.;;22;практика;6307;Уч.ц.1;5.9;12.12;пт;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;4;очная;;ОП-22;Магнитные, электрические и специальные методы обогощения;25;Доц. Мезенин А.О.;;19;лекция;6203;Уч.ц.1;1.9;8.12;пн;15;.55;17;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;4;очная;;ОП-22;Магнитные, электрические и специальные методы обогощения;25;Доц. Мезенин А.О.;;19;практика;6203;Уч.ц.1;1.9;8.12;пн;17;.30;19;.00;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;Теория разделения минералов;25;Асп. Гатиатуллин Б.Л.;2;;практика;6307;Уч.ц.1;1.9;8.12;пн;8;.50;10;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Механико-машиностроительный;3;очная;;ГМ-23;Основы обогащения и переработки минерального сырья;25;Доц. Николаева Н.В.;;14;лекция;7302;Уч.ц.1;1.9;8.12;пн;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Горный;3;очная;;БТБ-23;Основы обогащения полезных ископаемых;25;Доц. Николаева Н.В.;;27;лекция;6216;Уч.ц.1;1.9;8.12;пн;14;.15;15;.45;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;Теория разделения минералов;25;Асп. Гатиатуллин Б.Л.;1;;практика;6307;Уч.ц.1;2.9;9.12;вт;8;.50;10;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;Исследование руд на обогатимость;25;Доц. Николаева Н.В.;;22;лекция;6203;Уч.ц.1;2.9;28.10;вт;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Геологоразведочный;5;очная;;РМ-21;Основы технологии переработки руд;25;Доц. Николаева Н.В.;;21;лекция;6309;Уч.ц.1;3.9;10.12;ср;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;II Исследование руд на обогатимость;25;Доц. Николаева Н.В.;;22;лекция;6204;Уч.ц.1;11.9;23.10;чт;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;3;очная;;ОП-23;Дробление, измельчение и подготовка сырья к обогащению;25;Асп. Ильин Е.С.;;17;практика;6307;Уч.ц.1;4.9;11.12;чт;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;Теория разделения минералов;25;Доц. Николаева Н.В.;;22;лекция;6203;Уч.ц.1;5.9;12.12;пт;8;.50;10;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;3;очная;;ОП-23;Дробление, измельчение и подготовка сырья к обогащению;25;Доц. Николаева Н.В.;;17;лекция;6203;Уч.ц.1;5.9;12.12;пт;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;I Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;1;;практика;6307;Уч.ц.1;1.9;27.10;пн;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;II Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;2;;практика;6307;Уч.ц.1;8.9;20.10;пн;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;I Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;1;;практика;6307;Уч.ц.1;1.9;27.10;пн;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;II Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;2;;практика;6307;Уч.ц.1;8.9;20.10;пн;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;;22;практика;6307;Уч.ц.1;22.9;27.10;пн;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;;22;практика;6307;Уч.ц.1;22.9;27.10;пн;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Институт базового инженерного образования;2;очная;9;ОТ-24-28;Основы обогащения минерального сырья;25;Доц. Ромашев А.О.;;24;лекция;823;Инж.корп.;2.9;9.12;вт;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Институт базового инженерного образования;2;очная;9;ОТ-24-28;Основы обогащения минерального сырья;25;Асп. Абурова В.А.;1;;практика;803;Инж.корп.;2.9;9.12;вт;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;4;очная;;ОП-22;Основы проектирования горных предприятий;25;Доц. Ромашев А.О.;;19;лекция;6203;Уч.ц.1;3.9;10.12;ср;8;.50;10;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;;22;лекция;6204;Уч.ц.1;3.9;29.10;ср;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Институт базового инженерного образования;1;очная;9;ТГЭ-25-1;Введение в специальность;25;Доц. Ромашев А.О.;;30;лекция;823;Инж.корп.;3.9;10.12;ср;14;.15;15;.45;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;4;очная;;ОП-22;Моделирование процессов обогащения;25;Доц. Ромашев А.О.;;19;лекция;6203;Уч.ц.1;4.9;11.12;чт;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;I Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;2;;практика;6307;Уч.ц.1;4.9;30.10;чт;14;.15;15;.45;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;II Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;1;;практика;6307;Уч.ц.1;11.9;23.10;чт;14;.15;15;.45;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;;22;лекция;6204;Уч.ц.1;5.9;31.10;пт;8;.50;10;.20;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;I Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;2;;практика;6307;Уч.ц.1;5.9;31.10;пт;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;6;очная;;ОП-20;II Проектирование обогатительных фабрик;25;Доц. Ромашев А.О.;1;;практика;6307;Уч.ц.1;12.9;24.10;пт;10;.35;12;.05;;;;ос;;;;;;;;;;;;;;;;;
осенний;Переработки минерального сырья;5;очная;;ОП-21;Флотационные методы обогащения;25;Проф. Александрова Т.Н.;;22;лекция;6203;Уч.ц.1;2.9;9.12;вт;12;.35;14;.05;;;;ос;;;;;;;;;;;;;;;;;
